Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,222.529999,223.000000,214.809998,217.690002,214.479111,37130100
2021-01-05,217.259995,218.520004,215.699997,217.899994,214.686020,23823000
2021-01-06,212.169998,216.490005,211.940002,212.250000,209.119339,35930700
2021-01-07,214.039993,219.339996,213.710007,218.289993,215.070236,27694500
2021-01-08,218.679993,220.580002,217.029999,219.619995,216.380630,22956200
2021-01-11,218.470001,218.910004,216.729996,217.490005,214.282074,23031300
2021-01-12,216.500000,217.100006,213.320007,214.929993,211.759796,23249300
2021-01-13,214.020004,216.759995,213.929993,216.339996,213.148987,20087100
2021-01-14,215.910004,217.460007,212.740005,213.020004,209.877991,29480800
2021-01-15,213.520004,214.509995,212.029999,212.649994,209.513443,31746500
2021-01-19,213.750000,216.979996,212.630005,216.440002,213.247543,30480900
2021-01-20,217.699997,225.789993,217.289993,224.339996,221.031006,37777300
2021-01-21,224.699997,226.300003,222.419998,224.970001,221.651733,30709400
2021-01-22,227.080002,230.070007,225.800003,225.949997,222.617249,30172700
2021-01-25,229.119995,229.779999,224.220001,229.529999,226.144470,33152100
2021-01-26,231.860001,234.179993,230.080002,232.330002,228.903168,49169600
2021-01-27,238.000000,240.440002,230.139999,232.899994,229.464783,69870600
2021-01-28,235.610001,242.639999,235.089996,238.929993,235.405807,49111200
2021-01-29,235.990005,238.020004,231.350006,231.960007,228.538651,42503100
2021-02-01,235.059998,242.500000,232.429993,239.649994,236.115204,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,235.977264,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,239.415802,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,238.440384,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,238.627609,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,238.893600,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,240.174438,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,239.238449,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,240.883835,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,241.376434,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,240.105469,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,241.152222,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,240.747330,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,237.962555,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,231.583160,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,230.358643,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,231.622665,26339700
2021-02-25,232.080002,234.589996,227.880005,228.990005,226.132065,39542200
2021-02-26,231.529999,235.369995,229.539993,232.380005,229.479752,37819200
2021-03-01,235.899994,237.470001,233.149994,236.940002,233.982834,25324000
2021-03-02,237.009995,237.300003,233.449997,233.869995,230.951172,22812500
2021-03-03,232.160004,233.580002,227.259995,227.559998,224.719910,34029500
2021-03-04,226.740005,232.490005,224.259995,226.729996,223.900253,44727800
2021-03-05,229.520004,233.270004,226.460007,231.600006,228.709488,41872800
2021-03-08,231.369995,233.369995,227.130005,227.389999,224.552032,35267400
2021-03-09,232.880005,235.380005,231.669998,233.779999,230.862259,33080500
2021-03-10,237.000000,237.000000,232.039993,232.419998,229.519241,29746800
2021-03-11,234.960007,239.169998,234.309998,237.130005,234.170456,29907600
2021-03-12,234.009995,235.820007,233.229996,235.750000,232.807693,22653700
2021-03-15,234.960007,235.190002,231.809998,234.809998,231.879410,26034900
2021-03-16,236.279999,240.059998,235.940002,237.710007,234.743240,28092200
2021-03-17,236.149994,238.550003,233.229996,237.039993,234.081589,29562100
2021-03-18,232.559998,234.190002,230.330002,230.720001,227.840469,34833000
2021-03-19,231.020004,232.470001,229.350006,230.350006,227.475098,46430700
2021-03-22,230.270004,236.899994,230.139999,235.990005,233.044708,30127000
2021-03-23,237.490005,241.050003,237.070007,237.580002,234.614838,31638400
